system:index,oid,B1,B2,B3,B4,B5,B6,B7,sr_atmos_opacity
LT05_188022_19850420_20,153210130,608.0,716.0,736.0,980.0,868.0,2766.0,611.0,179.0
LT05_188022_19850420_22,153220050,394.0,474.0,441.0,563.0,424.0,2797.0,398.0,24.0
LT05_188022_19850420_23,153220120,387.0,512.0,511.0,943.0,628.0,2792.0,315.0,33.0
LT05_188022_19850420_24,153220190,451.0,597.0,514.0,688.0,452.0,2811.0,438.0,17.0
LT05_188022_19850420_32,154210040,612.0,721.0,661.0,715.0,572.0,2761.0,402.0,187.0
LT05_188022_19850420_35,154220070,497.0,603.0,518.0,735.0,748.0,2786.0,525.0,29.0
LT05_188022_19850420_36,154220080,512.0,544.0,541.0,686.0,601.0,2786.0,442.0,78.0
LT05_188022_19850420_37,154230020,559.0,652.0,599.0,676.0,598.0,2781.0,482.0,110.0
LT05_188022_19850506_17,153200140,474.0,607.0,491.0,614.0,306.0,2836.0,254.0,205.0
LT05_188022_19850506_20,153210130,531.0,650.0,604.0,765.0,581.0,2836.0,371.0,291.0
LT05_188022_19850506_22,153220050,603.0,631.0,511.0,561.0,246.0,2807.0,132.0,229.0
LT05_188022_19850506_23,153220120,595.0,681.0,592.0,859.0,721.0,2807.0,370.0,205.0
LT05_188022_19850506_24,153220190,604.0,645.0,561.0,803.0,607.0,2816.0,448.0,288.0
LT05_188022_19850506_32,154210040,495.0,539.0,506.0,559.0,330.0,2821.0,252.0,259.0
LT05_188022_19850506_33,154210060,580.0,658.0,685.0,1203.0,728.0,2855.0,615.0,289.0
LT05_188022_19850506_34,154220020,710.0,892.0,810.0,2250.0,1679.0,2831.0,929.0,228.0
LT05_188022_19850522_17,153200140,266.0,403.0,322.0,831.0,480.0,2883.0,243.0,105.0
LT05_188022_19850522_19,153210110,358.0,669.0,523.0,2244.0,1078.0,2902.0,575.0,88.0
LT05_188022_19850522_20,153210130,311.0,459.0,436.0,718.0,401.0,2893.0,279.0,48.0
LT05_188022_19850522_22,153220050,293.0,421.0,339.0,641.0,220.0,2883.0,95.0,43.0
LT05_188022_19850522_23,153220120,291.0,493.0,370.0,1094.0,453.0,2897.0,315.0,46.0
LT05_188022_19850522_24,153220190,353.0,574.0,505.0,942.0,710.0,2902.0,461.0,20.0
LT05_188022_19850522_32,154210040,260.0,336.0,231.0,370.0,271.0,2897.0,169.0,80.0
LT05_188022_19850522_33,154210060,357.0,531.0,467.0,1408.0,1133.0,2893.0,651.0,66.0
LT05_188022_19850522_34,154220020,396.0,682.0,535.0,3665.0,1751.0,2893.0,943.0,50.0
LT05_188022_19850522_35,154220070,295.0,470.0,348.0,1174.0,532.0,2869.0,279.0,25.0
LT05_188022_19850522_36,154220080,268.0,364.0,287.0,572.0,327.0,2897.0,207.0,16.0
LT05_188022_19850522_37,154230020,312.0,434.0,381.0,496.0,351.0,2906.0,278.0,9.0
LT05_188022_19850725_17,153200140,433.0,606.0,426.0,1062.0,354.0,2883.0,210.0,235.0
LT05_188022_19850725_20,153210130,317.0,413.0,226.0,934.0,438.0,2888.0,210.0,191.0
LT05_188022_19850725_22,153220050,547.0,697.0,511.0,1014.0,464.0,2879.0,365.0,181.0
LT05_188022_19850725_24,153220190,518.0,649.0,645.0,1296.0,736.0,2897.0,441.0,192.0
LT05_188022_19850725_32,154210040,609.0,771.0,680.0,1310.0,632.0,2888.0,367.0,226.0
LT05_188022_19850725_35,154220070,456.0,538.0,404.0,1428.0,851.0,2888.0,327.0,191.0
LT05_188022_19850725_37,154230020,280.0,321.0,216.0,452.0,140.0,2874.0,57.0,127.0
LT05_188022_19860610_17,153200140,212.0,352.0,249.0,1358.0,501.0,2888.0,241.0,88.0
LT05_188022_19860610_19,153210110,360.0,605.0,474.0,2563.0,1146.0,2906.0,459.0,90.0
LT05_188022_19860610_20,153210130,247.0,462.0,315.0,1160.0,628.0,2897.0,312.0,78.0
LT05_188022_19860610_24,153220190,366.0,499.0,415.0,843.0,572.0,2902.0,384.0,159.0
LT05_188022_19860610_32,154210040,229.0,315.0,251.0,440.0,190.0,2897.0,94.0,82.0
LT05_188022_19860610_33,154210060,295.0,498.0,413.0,2307.0,812.0,2897.0,497.0,87.0
LT05_188022_19860610_35,154220070,421.0,538.0,380.0,1587.0,810.0,2893.0,349.0,177.0
LT05_188022_19860610_36,154220080,306.0,418.0,307.0,807.0,258.0,2888.0,125.0,192.0
LT05_188022_19860626_17,153200140,286.0,480.0,361.0,1289.0,528.0,2879.0,165.0,152.0
LT05_188022_19860626_22,153220050,342.0,541.0,449.0,1201.0,475.0,2883.0,277.0,71.0
LT05_188022_19860626_23,153220120,339.0,491.0,405.0,1124.0,525.0,2874.0,386.0,106.0
LT05_188022_19860626_32,154210040,291.0,445.0,366.0,664.0,317.0,2874.0,203.0,137.0
LT05_188022_19860626_33,154210060,305.0,417.0,373.0,1673.0,999.0,2902.0,501.0,115.0
LT05_188022_19860626_34,154220020,287.0,623.0,489.0,2975.0,1663.0,2920.0,938.0,53.0
LT05_188022_19860626_35,154220070,321.0,476.0,358.0,1205.0,605.0,2879.0,277.0,61.0
LT05_188022_19860626_36,154220080,262.0,371.0,265.0,600.0,245.0,2883.0,167.0,51.0
LT05_188022_19860728_22,153220050,547.0,667.0,513.0,877.0,364.0,2911.0,94.0,215.0
LT05_188022_19860728_23,153220120,485.0,677.0,523.0,1684.0,790.0,2929.0,337.0,185.0
LT05_188022_19860728_24,153220190,381.0,532.0,433.0,718.0,509.0,2933.0,337.0,130.0
LT05_188022_19860728_35,154220070,550.0,641.0,453.0,1225.0,594.0,2915.0,217.0,191.0
LT05_188022_19860813_17,153200140,597.0,780.0,600.0,1267.0,361.0,2883.0,231.0,228.0
LT05_188022_19860914_17,153200140,418.0,579.0,428.0,1261.0,549.0,2846.0,332.0,127.0
LT05_188022_19860914_22,153220050,543.0,703.0,539.0,1030.0,614.0,2802.0,430.0,172.0
LT05_188022_19860914_24,153220190,895.0,1007.0,945.0,1565.0,1006.0,2771.0,736.0,212.0
LT05_188022_19860914_35,154220070,584.0,745.0,621.0,1413.0,902.0,2797.0,534.0,101.0
LT05_188022_19860930_17,153200140,498.0,611.0,489.0,1228.0,557.0,2826.0,330.0,65.0
LT05_188022_19860930_22,153220050,252.0,397.0,305.0,506.0,390.0,2826.0,211.0,9.0
LT05_188022_19860930_23,153220120,278.0,454.0,405.0,681.0,390.0,2826.0,153.0,9.0
LT05_188022_19860930_24,153220190,244.0,450.0,352.0,737.0,508.0,2831.0,210.0,9.0
LT05_188022_19860930_34,154220020,374.0,696.0,614.0,2519.0,1689.0,2831.0,911.0,9.0
LT05_188022_19860930_35,154220070,185.0,349.0,311.0,867.0,758.0,2826.0,387.0,9.0
LT05_188022_19860930_36,154220080,161.0,234.0,211.0,334.0,192.0,2821.0,212.0,9.0
LT05_188022_19861016_17,153200140,360.0,539.0,517.0,846.0,532.0,2826.0,189.0,30.0
LT05_188022_19861016_19,153210110,547.0,745.0,631.0,2077.0,1268.0,2831.0,688.0,35.0
LT05_188022_19861016_20,153210130,475.0,669.0,630.0,1199.0,1116.0,2821.0,687.0,32.0
LT05_188022_19861016_22,153220050,660.0,802.0,618.0,754.0,473.0,2816.0,329.0,52.0
LT05_188022_19861016_23,153220120,685.0,695.0,721.0,1039.0,720.0,2816.0,399.0,96.0
LT05_188022_19861016_24,153220190,636.0,685.0,649.0,808.0,368.0,2821.0,182.0,99.0
LT05_188022_19861016_32,154210040,438.0,472.0,395.0,409.0,184.0,2816.0,118.0,21.0
LT05_188022_19861016_33,154210060,485.0,604.0,574.0,1146.0,986.0,2821.0,626.0,47.0
LT05_188022_19861016_34,154220020,640.0,907.0,896.0,2665.0,1968.0,2831.0,1122.0,23.0
LT05_188022_19861016_35,154220070,551.0,697.0,650.0,993.0,877.0,2821.0,477.0,13.0
LT05_188022_19861016_36,154220080,468.0,538.0,389.0,403.0,380.0,2831.0,261.0,31.0
LT05_188022_19870410_19,153210110,687.0,857.0,842.0,1200.0,1119.0,2745.0,791.0,122.0
LT05_188022_19870410_20,153210130,730.0,806.0,841.0,1010.0,864.0,2735.0,563.0,120.0
LT05_188022_19870410_22,153220050,658.0,768.0,763.0,731.0,547.0,2718.0,426.0,83.0
LT05_188022_19870410_23,153220120,1052.0,1193.0,1131.0,1054.0,609.0,2729.0,382.0,67.0
LT05_188022_19870410_24,153220190,598.0,735.0,653.0,691.0,483.0,2750.0,469.0,25.0
LT05_188022_19870715_19,153210110,394.0,564.0,463.0,2214.0,993.0,2897.0,586.0,88.0
LT05_188022_19870715_20,153210130,277.0,501.0,342.0,1662.0,806.0,2893.0,472.0,48.0
LT05_188022_19870715_22,153220050,319.0,548.0,349.0,642.0,192.0,2888.0,132.0,121.0
LT05_188022_19870715_23,153220120,293.0,466.0,344.0,1588.0,618.0,2893.0,320.0,132.0
LT05_188022_19870715_32,154210040,166.0,297.0,196.0,416.0,143.0,2897.0,20.0,88.0
LT05_188022_19870715_33,154210060,327.0,491.0,331.0,1479.0,944.0,2893.0,588.0,87.0
LT05_188022_19870715_34,154220020,393.0,744.0,519.0,3826.0,1877.0,2902.0,702.0,127.0
LT05_188022_19870715_35,154220070,348.0,505.0,343.0,1398.0,620.0,2888.0,284.0,144.0
LT05_188022_19870917_19,153210110,725.0,895.0,749.0,2927.0,1342.0,2821.0,745.0,157.0
LT05_188022_19870917_25,153230040,260.0,244.0,184.0,781.0,405.0,2841.0,180.0,59.0
LT05_188022_19870917_26,153230050,285.0,453.0,365.0,2740.0,1108.0,2841.0,481.0,59.0
LT05_188022_19870917_36,154220080,248.0,408.0,278.0,475.0,231.0,2841.0,80.0,68.0
LT05_188022_19870917_37,154230020,303.0,429.0,254.0,331.0,305.0,2841.0,183.0,15.0
LT05_188022_19871003_17,153200140,368.0,407.0,364.0,928.0,521.0,2826.0,273.0,112.0
LT05_188022_19871003_19,153210110,461.0,619.0,546.0,2208.0,1056.0,2821.0,510.0,65.0
LT05_188022_19871003_22,153220050,429.0,534.0,421.0,670.0,349.0,2821.0,151.0,93.0
LT05_188022_19871003_23,153220120,348.0,479.0,427.0,734.0,473.0,2826.0,388.0,81.0
