"oid";"SR_B1";"SR_B2";"SR_B3";"SR_B4";"SR_B5";"SR_B6";"SR_B7";"ST_B10";"date"
153220120;0,0160125;0,0164525;0,021375;0,0158475;0,0165625;0,00592000000000001;0,00374749999999999;287,39904782;2018-10-01
153220190;0,00470999999999999;0,00889000000000001;0,018185;0,0121075;0,01175;0,00660749999999999;0,00498499999999999;287,57678486;2018-10-01
153230040;0,01263;0,015545;0,01835;0,010815;0,0107875;0,00457250000000001;0,0019875;286,7632961;2018-10-01
153230050;0,0134;0,0155725;0,0176625;0,0115575;0,012575;0,003335;0,0020425;286,48301846;2018-10-01
154220020;0,015325;0,0142525;0,0162325;0,01252;0,010815;0,00900000000000001;0,0024825;287,11535216;2018-10-01
154220070;0,0101825;0,0150775;0,02176;0,00996249999999999;0,00924749999999999;0,00636;0,00438;287,2759991;2018-10-01
154220080;0,00767999999999999;0,0114475;0,0163975;0,0078725;0,0122175;0,00655249999999999;0,004325;287,18371256;2018-10-01
154230020;0,00347249999999999;0,00649749999999999;0,01186;0,00536999999999999;0,00751499999999999;0,003775;0,0023175;287,11877018;2018-10-01
153220050;0,00902749999999999;0,0187075;0,039635;0,02891;0,031715;0,0228875;0,01681;289,46694992;2019-04-27
153220120;0,01703;0,02176;0,0330625;0,025995;0,0372975;0,023465;0,01615;289,43276972;2019-04-27
153220190;0,00396749999999998;0,0126025;0,028965;0,0223375;0,031165;0,023795;0,016205;292,15693166;2019-04-27
153230040;0,0291025;0,03562;0,0464275;0,03716;0,0595725;0,04244;0,030615;283,75202048;2019-04-27
153230050;0,02715;0,03056;0,042385;0,033035;0,0526425;0,0403775;0,0294325;289,70962934;2019-04-27
154220020;0,0156;0,022145;0,03793;0,03056;0,053495;0,0385075;0,028415;287,02648364;2019-04-27
154220080;0,0085875;0,0151875;0,0267375;0,02099;0,040955;0,0313575;0,021705;292,73115902;2019-04-27
154230020;0,00658;0,0139225;0,0280025;0,01923;0,03243;0,0265175;0,018735;289,2584507;2019-04-27
153220120;0,01417;0,021705;0,0410925;0,029845;0,0621575;0,0376;0,0266;293,14815746;2019-06-14
153230040;0,0223375;0,0333375;0,04277;0,0269025;0,0525875;0,03111;0,0231625;292,59443822;2019-06-14
153230050;0,0340525;0,0396075;0,0399925;0,03078;0,0625425;0,0255825;0,0212375;296,80202084;2019-06-14
153220050;0,00308749999999999;0,0106775;0,0346025;0,022365;0,0234375;0,01505;0,0111725;298,42558034;2019-06-30
153220120;0,0179925;0,0225575;0,0404875;0,0274525;0,0319075;0,0173325;0,00952249999999999;299,09209424;2019-06-30
153220190;0,00531499999999999;0,015765;0,0401575;0,025885;0,0606175;0,0306425;0,0146375;299,58770714;2019-06-30
153230040;0,02;0,0286075;0,0454925;0,025665;0,0352625;0,01857;0,01241;298,65458768;2019-06-30
153230050;0,0152425;0,019175;0,02594;0,0181025;0,0328425;0,015105;0,010595;299,1707087;2019-06-30
154220020;0,0161225;0,019505;0,0331175;0,0214025;0,0299;0,01263;0,00795499999999999;298,4871047;2019-06-30
154220070;0,02495;0,0359225;0,0575925;0,02836;0,038755;0,022035;0,0138125;298,51444886;2019-06-30
154220080;0,0055075;0,0138675;0,030835;0,01703;0,0425775;0,025445;0,0150775;300,51057254;2019-06-30
154230020;0,0169475;0,0248675;0,0415325;0,025665;0,04046;0,0235475;0,014665;297,69070604;2019-06-30
153220050;0,01692;0,02264;0,044145;0,0273975;0,0303125;0,0104025;0,00671749999999999;297,04470026;2019-08-17
153220120;0,0183775;0,0232175;0,04079;0,02671;0,0331725;0,0135925;0,007075;296,81911094;2019-08-17
153220190;0,0112275;0,01923;0,0431825;0,02583;0,0398;0,014995;0,00897249999999999;297,342068;2019-08-17
153230040;0,0287175;0,035895;0,047555;0,0227225;0,02253;0,00776250000000001;0,00451750000000001;296,56959548;2019-08-17
153230050;0,021045;0,0254725;0,032265;0,0173875;0,0249225;0,00575499999999998;0,00363749999999999;297,0173561;2019-08-17
154220070;0,012795;0,02121;0,0388375;0,0171675;0,02528;0,009825;0,00581000000000001;295,8723194;2019-08-17
154220080;0,0162325;0,0206875;0,032265;0,01604;0,02627;0,01043;0,00616749999999999;296,80543886;2019-08-17
154230020;0,020935;0,025005;0,03331;0,0174425;0,0221175;0,00751499999999999;0,00457250000000001;297,000266;2019-08-17
153220050;0,006745;0,01318;0,0311375;0,0166725;0,00922000000000001;0,00558999999999998;0,00481999999999999;287,4981704;2020-05-15
153220120;0,0128225;0,0145275;0,021925;0,0134275;0,0101825;0,00407749999999998;0,00234499999999999;286,73595194;2020-05-15
153230040;0,0132625;0,0157925;0,02319;0,01032;0,009605;0,0057275;0,00473750000000001;288,14417618;2020-05-15
153230050;0,0168375;0,0188725;0,02385;0,0130975;0,0143075;0,00878000000000001;0,00592000000000001;288,13392212;2020-05-15
153220050;0,00468250000000001;0,0117225;0,030945;0,01439;0,0107875;0,00968749999999999;0,00963249999999999;290,69743712;2020-05-31
153220120;0,02352;0,02594;0,0372975;0,0257475;0,0231625;0,01439;0,01153;289,21401644;2020-05-31
153220190;0,00303249999999999;0,0111175;0,030835;0,0183775;0,03034;0,01835;0,0133725;291,45965558;2020-05-31
153230050;0,0161225;0,0188175;0,0242075;0,0116675;0,0112;0,00754250000000001;0,007295;292,08173522;2020-05-31
